,FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,TP,CL,CF,SF,FA
60,8072807,3KCN,A:6-139,Q7UJS6,6-139,8072808,3KCN,A:6-139,Q7UJS6,6-139,1,1000002,2000016,3001156,4003632
61,8072809,3JTE,A:4-128,A3DCZ0,2-126,8072810,3JTE,A:4-128,A3DCZ0,2-126,1,1000002,2000016,3001156,4003632
62,8072811,5XJP,A:10-130,Q6TA00,10-130,8072812,5XJP,A:10-130,Q6TA00,10-130,1,1000002,2000016,3001156,4003632
63,8072813,3CG4,A:4-129,Q2FQ04,4-129,8072814,3CG4,A:4-129,Q2FQ04,4-129,1,1000002,2000016,3001156,4003632
64,8072815,4D6Y,A:4-124,Q2YPW6,4-124,8072816,4D6Y,A:4-124,Q2YPW6,4-124,1,1000002,2000016,3001156,4003632
65,8072817,3CRN,A:2-122,Q2FNF5,2-122,8072818,3CRN,A:2-122,Q2FNF5,2-122,1,1000002,2000016,3001156,4003632
66,8072819,3HDG,B:7-130,Q7MRH8,7-130,8072820,3HDG,B:7-130,Q7MRH8,7-130,1,1000002,2000016,3001156,4003632
67,8072821,2QXY,B:4-120,Q9WZU6,2-118,8072822,2QXY,B:4-120,Q9WZU6,2-118,1,1000002,2000016,3001156,4003632
68,8072823,6EKG,Y:3-123,Q6LYQ5,3-123,8072824,6EKG,Y:3-123,Q6LYQ5,3-123,1,1000002,2000016,3001156,4003632
69,8072825,3GT7,A:11-148,Q2LQE8,11-148,8072826,3GT7,A:11-148,Q2LQE8,11-148,1,1000002,2000016,3001156,4003632
70,8072827,3CNB,C:65-187,Q47UF8,65-187,8072828,3CNB,C:65-187,Q47UF8,65-187,1,1000002,2000016,3001156,4003632
71,8072829,3C3M,A:3-123,A3CS79,2-122,8072830,3C3M,A:3-123,A3CS79,2-122,1,1000002,2000016,3001156,4003632
72,8072831,3LTE,U:66-184,Q1N036,66-184,8072832,3LTE,U:66-184,Q1N036,66-184,1,1000002,2000016,3001156,4003632
73,8072833,5HM6,A:6-124,Q2VSW6,6-124,8072834,5HM6,A:6-124,Q2VSW6,6-124,1,1000002,2000016,3001156,4003632
74,8072835,5E3J,A:6-125,D0C9D6,6-125,8072836,5E3J,A:6-125,D0C9D6,6-125,1,1000002,2000016,3001156,4003632
75,8072837,6BR7,A:5-125,A0A014C6J9,5-125,8072838,6BR7,A:5-125,A0A014C6J9,5-125,1,1000002,2000016,3001156,4003632
76,8072839,1ZIT,A:1-121,O66551,1-121,8072840,1ZIT,A:1-121,O66551,1-121,1,1000002,2000016,3001156,4003632
77,8072841,3CZ5,A:4-144,Q1YEP2,2-142,8072842,3CZ5,A:4-125,Q1YEP2,2-123,1,1000002,2000016,3001156,4003632
78,8072843,3EUL,C:8-127,P9WGM5,8-127,8072844,3EUL,C:8-127,P9WGM5,8-127,1,1000002,2000016,3001156,4003632
79,8072845,4LE2,D:1-129,O34723,1-129,8072846,4LE2,D:1-129,O34723,1-129,1,1000002,2000016,3001156,4003632
80,8072847,2ZAY,A:8-130,Q1JZD9,154-276,8072848,2ZAY,A:8-130,Q1JZD9,154-276,1,1000002,2000016,3001156,4003632
81,8072849,3N53,B:2-122,Q3A6W4,2-122,8072850,3N53,B:2-122,Q3A6W4,2-122,1,1000002,2000016,3001156,4003632
82,8072851,3KYI,B:2-134,Q8KLS1,2-134,8072852,3KYI,B:2-134,Q8KLS1,2-134,1,1000002,2000016,3001156,4003632
83,8072853,3HV2,B:11-135,Q4K707,11-135,8072854,3HV2,B:11-135,Q4K707,11-135,1,1000002,2000016,3001156,4003632
84,8072855,2NT3,A:2-123,O68522,2-123,8072856,2NT3,A:2-123,O68522,2-123,1,1000002,2000016,3001156,4003632
85,8072857,4QPJ,C:1-118,Q2YQA4,1-118,8072858,4QPJ,C:1-118,Q2YQA4,1-118,1,1000002,2000016,3001156,4003632
86,8072859,3CG0,B:7-130,Q311G8,7-130,8072860,3CG0,B:7-130,Q311G8,7-130,1,1000002,2000016,3001156,4003632
87,8072861,4UHJ,A:2-123,P0AE88,2-123,8072862,4UHJ,A:2-123,P0AE88,2-123,1,1000002,2000016,3001156,4003632
88,8072863,4E7O,B:1-130,Q8DNC2,1-130,8072864,4E7O,B:1-130,Q8DNC2,1-130,1,1000002,2000016,3001156,4003632
89,8072865,2QR3,A:2-125,Q64UD2,2-125,8072866,2QR3,A:2-125,Q64UD2,2-125,1,1000002,2000016,3001156,4003632
90,8072867,3T8Y,B:3-140,Q9WYN9,3-140,8072868,3T8Y,B:3-140,Q9WYN9,3-140,1,1000002,2000016,3001156,4003632
91,8072869,5UIC,A:1-119,A0Q7W8,1-119,8072870,5UIC,A:1-119,A0Q7W8,1-119,1,1000002,2000016,3001156,4003632
92,8072871,3GRC,B:546-668,Q121U0,546-668,8072872,3GRC,B:546-668,Q121U0,546-668,1,1000002,2000016,3001156,4003632
93,8072873,3H5I,A:4-128,Q3ADQ4,4-128,8072874,3H5I,A:4-128,Q3ADQ4,4-128,1,1000002,2000016,3001156,4003632
94,8072875,2QVG,A:7-135,Q5ZSR0,8-136,8072876,2QVG,A:7-135,Q5ZSR0,8-136,1,1000002,2000016,3001156,4003632
95,8072877,2QV0,A:58-179,P21649,58-179,8072878,2QV0,A:58-179,P21649,58-179,1,1000002,2000016,3001156,4003632
96,8072879,2N9U,A:142-266,Q2N856,142-266,8072880,2N9U,A:142-266,Q2N856,142-266,1,1000002,2000016,3001156,4003632
97,8072881,3C97,A:552-671,Q2U940,552-671,8072882,3C97,A:552-671,Q2U940,552-671,1,1000002,2000016,3001156,4003632
98,8072883,4EUK,A:776-922,Q3S4A7,776-922,8072884,4EUK,A:776-922,Q3S4A7,776-922,1,1000002,2000016,3001156,4003632
99,8072885,3GWG,A:1-123,P71403,1-123,8072886,3GWG,A:1-123,P71403,1-123,1,1000002,2000016,3001156,4003632
100,8072887,3I42,A:19-134,Q1H0I3,19-134,8072888,3I42,A:19-134,Q1H0I3,19-134,1,1000002,2000016,3001156,4003632
101,8072889,4ZYL,B:6-149,Q6N5G1,6-149,8072890,4ZYL,B:6-149,Q6N5G1,6-149,1,1000002,2000016,3001156,4003632
102,8072891,5TE9,A:8-146,B2JH95,8-146,8072892,5TE9,A:8-136,B2JH95,8-136,1,1000002,2000016,3001156,4003632
103,8072893,3NHM,A:19-138,Q1CZZ7,19-138,8072894,3NHM,A:19-138,Q1CZZ7,19-138,1,1000002,2000016,3001156,4003632
104,8072895,6M8O,A:1-118,P60611,1-118,8072896,6M8O,A:1-118,P60611,1-118,1,1000002,2000016,3001156,4003632
105,8072897,2QSJ,B:2-130,Q5LQW4,2-130,8072898,2QSJ,B:2-130,Q5LQW4,2-130,1,1000002,2000016,3001156,4003632
106,8072899,3F6C,A:2-117,P0ACZ4,2-117,8072900,3F6C,A:2-117,P0ACZ4,2-117,1,1000002,2000016,3001156,4003632
107,8072901,4XLT,A:1-129,C6VVW9,1-129,8072902,4XLT,A:1-129,C6VVW9,1-129,1,1000002,2000016,3001156,4003632
108,8072903,3EQZ,A:3-125,Q483U6,3-125,8072904,3EQZ,A:3-125,Q483U6,3-125,1,1000002,2000016,3001156,4003632
109,8072905,5DCL,A:4-120,X5JZS1,4-120,8072906,5DCL,A:4-120,X5JZS1,4-120,1,1000002,2000016,3001156,4003632
110,8072907,2VUH,B:5-139,P26408,5-139,8072908,2VUH,B:5-139,P26408,5-139,1,1000002,2000016,3001156,4003632
111,8074334,3HEB,A:8-147,Q2RWM6,8-147,8074335,3HEB,A:8-147,Q2RWM6,8-147,1,1000002,2000016,3001156,4003632
112,8074336,3MM4,A:979-1118,O22267,979-1118,8074337,3MM4,A:979-1118,O22267,979-1118,1,1000002,2000016,3001156,4003632
113,8074338,3HDV,D:69-185,Q88QX9,69-185,8074339,3HDV,D:69-185,Q88QX9,69-185,1,1000002,2000016,3001156,4003632
114,8074340,3KHT,A:14-145,Q2SI73,14-145,8074341,3KHT,A:14-145,Q2SI73,14-145,1,1000002,2000016,3001156,4003632
115,8074342,3B2N,A:4-122,A0A0H3JRA8,2-120,8074343,3B2N,A:4-122,A0A0H3JRA8,2-120,1,1000002,2000016,3001156,4003632
116,8074344,2QZJ,A:4-124,Q180B0,2-122,8074345,2QZJ,A:4-124,Q180B0,2-122,1,1000002,2000016,3001156,4003632
117,8074346,5TQJ,A:5-128,B2JEF9,5-128,8074347,5TQJ,A:5-128,B2JEF9,5-128,1,1000002,2000016,3001156,4003632
118,8074348,3LUA,A:2-125,A3DK02,2-125,8074349,3LUA,A:2-125,A3DK02,2-125,1,1000002,2000016,3001156,4003632
119,8074352,3ILH,A:5-136,Q11VD8,5-136,8074353,3ILH,A:5-136,Q11VD8,5-136,1,1000002,2000016,3001156,4003632
120,8074354,5KBX,B:503-647,Q07084,503-647,8074355,5KBX,B:503-647,Q07084,503-647,1,1000002,2000016,3001156,4003632
121,8075474,2MSW,A:5-125,Q2N9L8,1-121,8075475,2MSW,A:5-125,Q2N9L8,1-121,1,1000002,2000016,3001156,4003632
122,8075476,2J48,A:627-745,Q9KHI5,627-745,8075477,2J48,A:627-745,Q9KHI5,627-745,1,1000002,2000016,3001156,4003632
123,8075478,2PLN,A:1-114,O25684,1-114,8075479,2PLN,A:1-114,O25684,1-114,1,1000002,2000016,3001156,4003632
124,8075480,2HQO,A:1-118,Q9ZM42,1-118,8075481,2HQO,A:1-118,Q9ZM42,1-118,1,1000002,2000016,3001156,4003632
125,8076228,5IC5,A:1-152,F5Y2U8,1-152,8076229,5IC5,A:1-132,F5Y2U8,1-132,1,1000002,2000016,3001156,4003632
126,8076230,5JYU,A:613-729,Q8DKG0,613-729,8076231,5JYU,A:613-729,Q8DKG0,613-729,1,1000002,2000016,3001156,4003632
127,8076697,3KTO,A:12-133,Q15U25,12-133,8076698,3KTO,A:12-133,Q15U25,12-133,1,1000002,2000016,3001156,4003632
128,8077394,2RDM,A:2-122,A6UIY7,2-122,8077395,2RDM,A:2-122,A6UIY7,2-122,1,1000002,2000016,3001156,4003632
129,8077428,2LPM,A:4-123,Q930Y6,1-120,8077429,2LPM,A:4-123,Q930Y6,1-120,1,1000002,2000016,3001156,4003632
130,8081626,3M6M,D:462-581,P0C0F6,462-581,8081627,3M6M,D:462-581,P0C0F6,462-581,1,1000002,2000016,3001156,4003632
131,8083886,3RQI,A:3-138,Q3JXA5,3-138,8083887,3RQI,A:3-117,Q3JXA5,3-117,1,1000002,2000016,3001156,4003632
132,8092321,4CBV,B:1-133,Q79CK7,1-133,8092322,4CBV,B:1-133,Q79CK7,1-133,1,1000002,2000016,3001156,4003632
133,8045706,5HUQ,A:2-424,F9USS9,2-424,8091607,5HUQ,A:37-272,F9USS9,37-272,1,1000002,2001471,3002525,4004630
134,8045707,2YJG,A:2-426,D9TQ02,2-426,8091609,2YJG,A:37-272,D9TQ02,37-272,1,1000002,2001471,3002525,4004630
135,8045708,4NAR,A:4-423,Q9WYS3,4-423,8091611,4NAR,A:10-262,Q9WYS3,10-262,1,1000002,2001471,3002525,4004630
136,8019846,1J2M,A:1-99,O18734,22-120,8032226,1J2M,A:1-99,O18734,22-120,1,1000000,2000736,3001157,4002373
137,8045706,5HUQ,A:2-424,F9USS9,2-424,8091608,5HUQ,A:278-419,F9USS9,278-419,1,1000002,2000683,3002526,4004630
138,8045707,2YJG,A:2-426,D9TQ02,2-426,8091610,2YJG,A:278-420,D9TQ02,278-420,1,1000002,2000683,3002526,4004630
139,8045708,4NAR,A:4-423,Q9WYS3,4-423,8091612,4NAR,A:269-416,Q9WYS3,269-416,1,1000002,2000683,3002526,4004630
140,8025639,1OZJ,A:7-132,P84022,7-132,8038018,1OZJ,A:7-132,P84022,7-132,1,1000003,2000735,3001158,4002374
141,8045713,3MAY,B:40-132,O53654,41-133,8091614,3MAY,B:40-132,O53654,41-133,1,1000000,2001472,3002527,4004634
142,8023117,1AFJ,A:1-72,P04129,20-91,8035497,1AFJ,A:1-72,P04129,20-91,1,1000003,2000014,3001159,4001253
143,8023119,2AW0,A:1-72,Q04656,375-446,8035499,2AW0,A:1-72,Q04656,375-446,1,1000003,2000014,3001159,4001253
144,8023120,1CC8,A:2-73,P38636,2-73,8035500,1CC8,A:2-73,P38636,2-73,1,1000003,2000014,3001159,4001253
145,8023123,1FE0,A:2-67,O00244,2-67,8035503,1FE0,A:2-67,O00244,2-67,1,1000003,2000014,3001159,4001253
146,8023130,1CPZ,A:2-68,Q47840,3-69,8035510,1CPZ,A:2-68,Q47840,3-69,1,1000003,2000014,3001159,4001253
147,8023131,1QUP,A:2-73,P40202,2-73,8035511,1QUP,A:2-73,P40202,2-73,1,1000003,2000014,3001159,4001253
148,8023628,2QIF,A:1-69,O32221,1-69,8036008,2QIF,A:1-69,O32221,1-69,1,1000003,2000014,3001159,4001253
149,8025618,1OSD,A:1-72,Q5NUU9,16-87,8037997,1OSD,A:1-72,Q5NUU9,16-87,1,1000003,2000014,3001159,4001253
150,8025912,1P6T,A:2-72,O32220,1-71,8038291,1P6T,A:2-72,O32220,1-71,1,1000003,2000014,3001159,4001253
151,8025915,1P6T,A:73-147,O32220,72-146,8038294,1P6T,A:73-142,O32220,72-141,1,1000003,2000014,3001159,4001253
152,8029145,1SB6,A:1-64,P73213,1-64,8041524,1SB6,A:1-64,P73213,1-64,1,1000003,2000014,3001159,4001253
153,8029486,2GGP,B:2-72,P38995,2-72,8041865,2GGP,B:2-72,P38995,2-72,1,1000003,2000014,3001159,4001253
154,8031484,1MWZ,A:2-74,P37617,46-118,8043862,1MWZ,A:2-74,P37617,46-118,1,1000003,2000014,3001159,4001253
155,8020308,1VR4,A:1-103,Q81H14,1-103,8032688,1VR4,A:1-103,Q81H14,1-103,1,1000003,2000724,3001160,4003633
156,8031894,1Y2I,A:1-107,Q83LS2,1-107,8044272,1Y2I,A:1-107,Q83LS2,1-107,1,1000003,2000724,3001160,4003633
157,8086949,2GTC,A:1-103,Q63F05,1-103,8086950,2GTC,A:1-103,Q63F05,1-103,1,1000003,2000724,3001160,4003633
158,8045447,2Y1B,A:47-132,P69411,47-132,8090693,2Y1B,A:47-132,P69411,47-132,1,1000003,2000724,3001160,4004474
159,8046567,2JZ7,E:1-81,Q5UBU1,1-81,8090694,2JZ7,E:1-81,Q5UBU1,1-81,1,1000003,2000724,3001160,4005161
160,8090698,3QKB,A:1-91,Q03GF5,1-91,8090699,3QKB,A:1-91,Q03GF5,1-91,1,1000003,2000724,3001160,4003633
161,8090700,5EVF,A:32-132,A0Q625,32-132,8090701,5EVF,A:53-132,A0Q625,53-132,1,1000003,2000724,3001160,4007709
162,8045864,4HVZ,A:37-250,Q44642,37-250,8091413,4HVZ,"A:37-51,A:161-250",Q44642,"37-51,161-250",1,1000003,2000724,3001160,4004729
163,8045864,4HVZ,A:37-250,Q44642,37-250,8091414,4HVZ,A:52-160,Q44642,52-160,1,1000003,2000724,3001160,4004729
164,8047101,4XJX,B:731-896,P10486,731-896,8091622,4XJX,B:731-896,P10486,731-896,1,1000000,2001473,3002528,4005449
165,8047102,3EVY,A:662-744,Q5LEB7,662-744,8091626,3EVY,A:662-744,Q5LEB7,662-744,1,1000000,2001473,3002528,4005449
166,8020650,1FEU,A:1-185,P56930,1-185,8033030,1FEU,A:1-185,P56930,1-185,1,1000001,2000737,3001161,4002376
167,8024432,2RD2,A:339-547,P00962,340-548,8036811,2RD2,A:339-547,P00962,340-548,1,1000001,2000737,3001161,4002383
168,8026201,2ZJR,S:1-175,Q9RX88,1-175,8038580,2ZJR,S:1-175,Q9RX88,1-175,1,1000001,2000737,3001161,4002376
169,8030159,1DFU,P:1-94,P68919,1-94,8042538,1DFU,P:1-94,P68919,1-94,1,1000001,2000737,3001161,4002376
170,8092909,4H3S,A:568-809,P13188,568-809,8092910,4H3S,A:568-809,P13188,568-809,1,1000001,2000737,3001161,4002383
171,8092912,4YE6,A:566-771,P47897,566-771,8092913,4YE6,A:566-771,P47897,566-771,1,1000001,2000737,3001161,4002383
172,8045715,3SWY,B:3-46,Q16281,626-669,8091635,3SWY,B:3-46,Q16281,626-669,3,1000000,2000962,3002529,4004636
173,8045716,3SWF,B:5-60,Q00194,621-676,8091636,3SWF,B:5-60,Q00194,621-676,3,1000000,2000962,3002529,4004636
174,8020704,1V9V,A:8-108,O60307,181-281,8033084,1V9V,A:8-108,O60307,181-281,1,1000000,2001119,3001162,4001254
175,8045719,2QNU,A:4-214,Q9I756,4-214,8091650,2QNU,A:4-214,Q9I756,4-214,1,1000003,2001474,3002531,4004639
176,8026137,1PBW,A:115-298,P27986,115-298,8038516,1PBW,A:115-298,P27986,115-298,1,1000000,2000738,3001163,4001255
177,8026139,1GRN,B:260-456,Q07960,237-433,8038518,1GRN,B:260-456,Q07960,237-433,1,1000000,2000738,3001163,4001255
178,8026140,1F7C,A:191-381,Q5ZMW5,383-573,8038519,1F7C,A:191-381,Q5ZMW5,383-573,1,1000000,2000738,3001163,4001255
179,8053472,3QIS,A:678-896,Q01968,678-896,8053473,3QIS,A:678-896,Q01968,678-896,1,1000000,2000738,3001163,4001255
180,8018872,3FAY,A:962-1339,P46940,962-1339,8057912,3FAY,A:1010-1200,P46940,1010-1200,1,1000000,2000738,3001163,4001262
181,8018874,1NF1,A:1206-1550,P21359,1206-1550,8057919,1NF1,A:1250-1400,P21359,1250-1400,1,1000000,2000738,3001163,4001262
182,8018882,1WER,A:718-1041,P20936,718-1041,8057921,1WER,A:763-1010,P20936,763-1010,1,1000000,2000738,3001163,4001262
183,8018886,3BXJ,B:399-711,Q9QUH6,414-726,8057928,3BXJ,B:443-590,Q9QUH6,458-605,1,1000000,2000738,3001163,4001262
184,8018905,1XA6,A:271-466,P52757,273-468,8057939,1XA6,A:271-466,P52757,273-468,1,1000000,2000738,3001163,4001255
185,8079456,6D81,A:113-298,P23727,113-298,8079457,6D81,A:113-298,P23727,113-298,1,1000000,2000738,3001163,4001255
186,8079458,2XS6,A:109-294,O00459,109-294,8079459,2XS6,A:109-294,O00459,109-294,1,1000000,2000738,3001163,4001255
187,8079460,2OSA,A:264-459,P15882,264-459,8079461,2OSA,A:264-459,P15882,264-459,1,1000000,2000738,3001163,4001255
188,8079462,5C5S,C:112-319,Q13459,1693-1900,8079463,5C5S,C:112-319,Q13459,1693-1900,1,1000000,2000738,3001163,4001255
189,8079464,5IRC,A:1242-1439,P81128,1242-1439,8079465,5IRC,A:1242-1439,P81128,1242-1439,1,1000000,2000738,3001163,4001255
190,8079466,3FK2,A:1242-1437,Q9NRY4,1242-1437,8079467,3FK2,A:1242-1437,Q9NRY4,1242-1437,1,1000000,2000738,3001163,4001255
191,8079468,5MY3,A:19-218,P38339,467-666,8079469,5MY3,A:19-218,P38339,467-666,1,1000000,2000738,3001163,4001255
192,8079470,3IUG,A:367-568,A7KAX9,367-568,8079471,3IUG,A:367-568,A7KAX9,367-568,1,1000000,2000738,3001163,4001255
193,8079472,5JCP,B:906-1100,Q8WWN8,906-1100,8079473,5JCP,B:906-1100,Q8WWN8,906-1100,1,1000000,2000738,3001163,4001255
