,dope,soap
2XXG_A_2H5U_A_3_2,-25562.443359375,-79241.9921875
2XXG_A_2H5U_A_3_3,-25944.171875,-70347.3671875
2XXG_A_6WCN_A_2_1,-25814.490234375,-125681.5
2XXG_A_1RZP_A_1_3,-35335.26171875,-312423.59375
2XXG_A_2XYB_A_3_2,-25366.72265625,-90141.28125
2XXG_A_6WCN_A_2_2,-26042.376953125,-113756.78125
2XXG_A_2H5U_A_3_1,-25965.50390625,-88160.1875
2XXG_A_1GYC_A_3_2,-25818.341796875,-83753.9609375
2XXG_A_6H5Y_A_3_4,-24941.7265625,-99526.09375
2XXG_A_3H4F_A_3_3,-35137.0859375,-317589.875
2XXG_A_5NQ8_A_3_2,-24772.359375,-95114.7578125
2XXG_A_1GYC_A_3_5,-26335.421875,-106707.5859375
2XXG_A_5NQ8_A_3_4,-25450.5078125,-102722.5234375
2XXG_A_1L9O_A_3_5,-34990.8046875,-318574.59375
2XXG_A_5LDU_A_3_2,-24613.9765625,-72759.390625
2XXG_A_5NQ7_A_3_3,-25528.5,-110747.578125
2XXG_A_1RZP_A_1_2,-35136.203125,-308124.09375
2XXG_A_3H56_A_3_4,-34679.9609375,-317502.6875
2XXG_A_1KYA_A_3_5,-25405.7109375,-50942.9375
2XXG_A_6H5Y_A_3_5,-24605.166015625,-66321.953125
2XXG_A_5I6L_A_1_3,-35378.5703125,-319499.53125
2XXG_A_3X1B_A_3_2,-25293.638671875,-98584.5625
2XXG_A_1MZY_A_1_5,-34763.5234375,-300539.09375
2XXG_A_5LDU_A_3_3,-25134.560546875,-86701.9453125
2XXG_A_1KYA_A_3_4,-25469.052734375,-64090.61328125
2XXG_A_1L9Q_A_2_4,-35037.578125,-315221.46875
2XXG_A_6H5Y_A_3_1,-24305.751953125,-94090.0546875
2XXG_A_3ZX1_A_2_1,-24937.3828125,-96247.1953125
2XXG_A_3ZX1_A_2_3,-24769.09375,-88593.7421875
2XXG_A_1L9R_A_2_1,-35188.109375,-322197.59375
2XXG_A_6WCN_A_2_3,-25827.583984375,-122517.140625
2XXG_A_2XYB_A_3_5,-26107.662109375,-102365.1875
3V4C_A_3IWJ_A_3_5,-46249.5703125,-123057.1171875
3V4C_A_1BI9_A_3_5,-44398.3046875,-71698.4375
3V4C_A_1A4Z_A_2_1,-46103.21875,-145856.84375
3V4C_A_1O9J_A_2_5,-46250.515625,-149539.9375
3V4C_A_1BXS_A_2_4,-46184.0390625,-135305.46875
3V4C_A_4V37_A_2_4,-43560.5703125,-104968.4921875
3V4C_A_6VWF_A_3_1,-45441.94140625,-58211.48046875
3V4C_A_4V3F_C_2_5,-43353.26953125,-97060.3125
3V4C_A_1EYY_A_2_2,-52323.90625,-254971.859375
3V4C_A_1BXS_A_3_4,-46374.78125,-146536.1875
3V4C_A_3IWJ_A_3_2,-47160.3125,-149899.15625
3V4C_A_4PZ2_A_2_4,-46431.15234375,-157885.390625
3V4C_A_4DAL_A_1_5,-40014.140625,-99246.625
3V4C_A_3JZ4_C_1_5,-43227.796875,-28389.515625
3V4C_A_5FHZ_A_3_4,-46677.7265625,-157599.796875
3V4C_A_6ALJ_A_3_4,-47782.921875,-174754.640625
3V4C_A_4QYJ_A_3_4,-45946.578125,-131533.0
3V4C_A_5GTK_A_3_5,-46998.65234375,-145766.625
3V4C_A_1A4S_A_3_5,-46468.33984375,-135723.046875
3V4C_A_4V3F_C_2_2,-43210.5625,-88369.2734375
3V4C_A_4WJ9_A_3_2,-46978.62109375,-173968.234375
3V4C_A_4I9B_A_3_1,-47368.328125,-153764.375
3V4C_A_5GTK_A_3_4,-46529.55859375,-127073.625
3V4C_A_4KNA_A_1_4,-40117.140625,-98650.9921875
3V4C_A_5A2D_A_2_2,-43581.1640625,-107080.78125
3V4C_A_1CW3_A_2_4,-46455.6875,-146235.828125
3V4C_A_4PXL_B_3_3,-46376.28125,-155455.96875
3V4C_A_5A2D_A_2_5,-42908.24609375,-101303.3203125
3V4C_A_5X5T_A_1_4,-35337.66796875,-93598.9765625
3V4C_A_4WJ9_A_3_5,-46925.9765625,-166236.0
3V4C_A_4O6R_A_2_4,-46766.0390625,-152537.484375
3V4C_A_1O9J_A_2_1,-44837.41015625,-98793.7421875
3V4C_A_3IWJ_A_3_1,-46113.33203125,-135173.671875
3V4C_A_3IWK_A_3_4,-47395.875,-159354.515625
3V4C_A_4WB9_A_2_1,-46077.12109375,-150639.09375
3V4C_A_4WJ9_A_3_4,-47061.140625,-178132.859375
3V4C_A_1A4Z_A_2_3,-46035.828125,-143234.109375
3V4C_A_4MPB_A_2_3,-45194.48828125,-127539.6875
3V4C_A_4WB9_A_3_2,-46972.109375,-150225.046875
3V4C_A_4A0M_A_2_2,-42718.875,-97806.8828125
3V4C_A_1EYY_A_2_1,-52737.23046875,-247616.453125
3V4C_A_5X5T_A_1_3,-34372.2578125,-88370.234375
3V4C_A_4WB9_A_2_5,-46272.9453125,-142876.421875
3V4C_A_6VWF_A_3_3,-44136.6953125,-37836.68359375
3V4C_A_4MPB_A_2_5,-44589.671875,-120913.515625
3V4C_A_5FHZ_A_3_1,-46184.2890625,-173042.375
3V4C_A_4V3F_C_2_4,-42963.7421875,-92013.875
3V4C_A_5U0L_A_1_3,-44281.69921875,-158794.828125
3V4C_A_4A0M_A_2_1,-43089.19140625,-113382.6640625
3V4C_A_1CW3_A_2_5,-46610.53125,-156213.015625
3V4C_A_4X2Q_A_3_2,-45582.12890625,-121684.4375
3V4C_A_4QYJ_A_3_2,-45771.8984375,-145514.1875
3V4C_A_4MPB_A_2_4,-45567.80078125,-127239.671875
3V4C_A_5GTK_A_3_1,-47605.16796875,-156213.640625
3V4C_A_4WJ9_A_2_1,-46058.62109375,-136552.09375
3V4C_A_4GO3_A_3_1,-46881.1171875,-124559.71875
3V4C_A_4WB9_A_2_4,-45996.80859375,-156003.4375
3V4C_A_5ABM_A_3_1,-47469.359375,-157846.609375
3V4C_A_6S6W_A_3_5,-45593.2109375,-145381.015625
3V4C_A_3JZ4_C_1_2,-43418.828125,-46592.74609375
3V4C_A_4PZ2_A_2_1,-45658.28125,-144524.390625
3V4C_A_4GO3_A_3_3,-47408.98828125,-143077.390625
3V4C_A_4WJ9_A_3_3,-46172.77734375,-163419.25
3V4C_A_5U0L_A_1_4,-45007.875,-150631.421875
3V4C_A_1EYY_A_1_3,-52541.9140625,-251562.328125
3V4C_A_4MPB_A_2_1,-44901.12890625,-115421.9921875
3V4C_A_1EYY_A_1_5,-52456.08203125,-247614.671875
3V4C_A_4DAL_A_1_4,-39970.9921875,-111010.5234375
3V4C_A_1A4S_A_3_4,-47115.453125,-150686.484375
3V4C_A_6S6W_A_3_2,-45885.1640625,-163678.234375
3V4C_A_1BXS_A_3_1,-46089.08203125,-144895.0
3V4C_A_5U0L_A_1_5,-44626.0625,-152366.75
3V4C_A_1CW3_A_2_3,-46559.89453125,-157092.109375
3V4C_A_5ABM_A_3_2,-46949.38671875,-170460.5625
3V4C_A_2WME_A_3_1,-46547.34765625,-160552.71875
3V4C_A_4WB9_A_3_3,-46718.20703125,-160734.984375
3V4C_A_6S6W_A_3_1,-46328.46875,-156140.5
3V4C_A_4GO3_A_3_5,-47252.828125,-148977.75
3V4C_A_3IWK_A_3_2,-47850.5625,-172869.3125
3V4C_A_4I8P_A_2_4,-44817.1171875,-111141.0
3V4C_A_1A4S_A_3_2,-46814.71875,-151545.5
3V4C_A_4A0M_A_1_1,-42223.57421875,-118795.53125
3V4C_A_4WJ9_A_3_1,-46181.8125,-144490.140625
3V4C_A_4A0M_A_1_4,-42011.046875,-102423.6171875
3V4C_A_6S6W_A_2_1,-46451.4375,-144312.8125
3V4C_A_4NEA_A_2_2,-44963.03515625,-106194.0703125
3V4C_A_1EYY_A_1_1,-52677.578125,-251517.515625
3V4C_A_3TY7_A_1_1,-41375.60546875,-56310.328125
3V4C_A_5L2M_A_3_1,-46055.07421875,-146006.875
3V4C_A_4KNA_A_1_1,-40688.53125,-112400.5390625
3V4C_A_4V3F_A_2_3,-43915.64453125,-110606.4375
3V4C_A_5GTK_A_3_3,-47149.26171875,-148744.78125
3V4C_A_4WB9_A_2_2,-45871.80078125,-149317.0625
3V4C_A_6ALJ_A_3_3,-48050.421875,-162651.171875
3V4C_A_5GTK_A_3_2,-47592.92578125,-147745.28125
3V4C_A_5A2D_A_2_4,-43522.55859375,-120303.734375
3V4C_A_4NEA_A_2_3,-44567.8203125,-131522.328125
3V4C_A_1EYY_A_2_4,-52631.203125,-257159.8125
3V4C_A_4O6R_A_2_2,-46861.203125,-159591.84375
3V4C_A_3IWJ_A_3_4,-47571.60546875,-156631.578125
3V4C_A_4GO3_A_3_4,-47100.6171875,-138634.515625
3V4C_A_1BI9_A_3_3,-45342.76953125,-86602.9765625
3V4C_A_5L2M_A_3_5,-46850.9140625,-176988.671875
3V4C_A_4DAL_A_1_1,-39986.73828125,-102123.6328125
3V4C_A_5L2M_A_3_2,-46843.8984375,-170369.125
3V4C_A_6ALJ_A_3_1,-47215.80078125,-174894.5625
3V4C_A_4WB9_A_3_1,-46761.59765625,-158936.78125
3V4C_A_1EYY_A_1_4,-52448.3671875,-257449.484375
3V4C_A_6ALJ_A_2_3,-46850.7734375,-164001.78125
3V4C_A_1EYY_A_2_3,-52867.5390625,-257410.734375
3V4C_A_4WB9_A_3_5,-46530.7734375,-157837.09375
3V4C_A_6ALJ_A_3_2,-47506.16796875,-181521.8125
3V4C_A_1BXS_A_3_3,-45574.83203125,-132957.875
3V4C_A_1A4S_A_3_3,-45947.23046875,-150616.28125
3V4C_A_4PXL_B_3_1,-46275.25390625,-156999.34375
3V4C_A_6S6W_A_2_4,-46378.87890625,-147031.578125
3V4C_A_4V3F_C_2_1,-42560.5625,-83598.546875
3V4C_A_1EYY_A_1_2,-52493.40234375,-253123.375
3V4C_A_6S6W_A_2_2,-46468.70703125,-149614.3125
3V4C_A_3IWK_A_3_5,-46529.07421875,-126620.6640625
3V4C_A_4QYJ_A_3_5,-46213.609375,-160455.1875
3V4C_A_4X2Q_A_3_5,-44512.953125,-105229.921875
3V4C_A_3TY7_A_1_4,-42500.859375,-91605.375
3V4C_A_4DAL_A_1_3,-40337.15625,-91369.5078125
3V4C_A_4V37_A_2_1,-42813.38671875,-94415.5625
3V4C_A_4A0M_A_2_4,-42820.37890625,-101910.1015625
3V4C_A_4PXL_B_3_5,-45808.02734375,-151885.90625
3V4C_A_5X5T_A_1_1,-34312.47265625,-87123.3203125
3V4C_A_3TY7_A_1_5,-42457.8671875,-94255.8359375
3V4C_A_4WJ9_A_2_5,-46407.8984375,-155145.234375
3V4C_A_1A4Z_A_2_4,-46530.24609375,-165872.46875
3V4C_A_4WJ9_A_2_2,-46266.8828125,-161243.578125
3V4C_A_2WME_A_3_5,-46437.4609375,-169893.296875
3V4C_A_1BXS_A_2_2,-46292.8828125,-151445.859375
3V4C_A_1O9J_A_2_2,-45460.56640625,-119936.3359375
3V4C_A_4GO3_A_3_2,-47144.84375,-138776.28125
3V4C_A_1A4Z_A_2_2,-45186.03125,-148921.5
3V4C_A_4DAL_A_1_2,-40348.4375,-102211.546875
3V4C_A_1BI9_A_3_1,-46011.09375,-112683.890625
3V4C_A_3JZ4_C_1_1,-43388.62109375,-16231.4140625
3V4C_A_2WME_A_3_2,-46140.765625,-155181.96875
3V4C_A_5U0L_A_1_1,-44435.67578125,-154179.640625
3V4C_A_5X5T_A_1_5,-34556.0546875,-87323.578125
3V4C_A_1EYY_A_2_5,-52295.5625,-244223.578125
3V4C_A_4A0M_A_2_5,-42622.70703125,-75593.6953125
3V4C_A_1BI9_A_3_4,-45362.2578125,-92043.484375
3V4C_A_3IWJ_A_3_3,-47535.609375,-156992.8125
3V4C_A_4I9B_A_3_3,-47238.38671875,-146895.046875
3V4C_A_3TY7_A_1_3,-41668.2578125,-79730.5625
3V4C_A_5ABM_A_3_4,-47082.11328125,-161467.75
1FHU_A_2QDD_A_2_5,-26830.37890625,-71545.9296875
1FHU_A_1JPM_A_2_5,-26586.236328125,-64221.87109375
3AML_A_5GR1_A_3_2,-70410.0546875,-198234.046875
3AML_A_5GQZ_A_3_4,-71576.859375,-241746.203125
3AML_A_3AMK_A_1_1,-89964.53125,-472204.09375
3AML_A_4BZY_A_1_5,-83015.5625,-379869.21875
3AML_A_5GQW_A_2_1,-71592.4765625,-161050.296875
3AML_A_6JOY_A_1_2,-69307.3828125,-165045.78125
3AML_A_5GR2_A_1_1,-69836.8984375,-175581.921875
3AML_A_5GQU_A_1_1,-70132.84375,-173296.0625
3AML_A_5GR5_A_2_2,-71779.5234375,-181240.328125
3AML_A_5GQU_A_1_3,-69632.984375,-158848.046875
3AML_A_5GR2_A_2_1,-71504.9296875,-166850.859375
3AML_A_6JOY_A_3_2,-70493.5703125,-234044.953125
3AML_A_5GQW_A_3_1,-71720.34375,-234209.953125
3AML_A_5CLT_A_2_5,-83900.2890625,-363243.9375
3AML_A_5GR0_A_2_3,-71583.703125,-198848.328125
3AML_A_5GR0_A_2_4,-71391.171875,-185436.84375
3AML_A_6JOY_A_1_1,-69241.828125,-130850.5703125
3AML_A_5GR3_A_2_4,-72336.34375,-204696.296875
3AML_A_4BZY_A_3_2,-82210.109375,-373874.96875
3AML_A_6JOY_A_2_3,-69790.7109375,-153343.09375
3AML_A_5GR1_A_3_5,-71167.21875,-198502.171875
3AML_A_5GR5_A_2_5,-71092.3515625,-158662.703125
3AML_A_5CLT_A_3_5,-83051.5703125,-368643.8125
3AML_A_5GQW_A_3_2,-71470.671875,-230643.140625
3AML_A_4BZY_A_1_2,-82122.1171875,-358521.375
3AML_A_4BZY_A_1_3,-81862.8359375,-363839.625
3AML_A_6JOY_A_3_1,-70842.4140625,-240699.390625
3AML_A_5GR2_A_2_3,-71358.703125,-164696.515625
3AML_A_5GR0_A_3_4,-71483.171875,-239664.265625
3AML_A_5GQZ_A_3_2,-72094.1875,-263528.84375
3AML_A_5GR2_A_3_1,-71893.953125,-240946.140625
3AML_A_5GQW_A_2_5,-71986.4609375,-164419.390625
3AML_A_6JOY_A_3_4,-70128.9765625,-210812.515625
3AML_A_5GR1_A_2_2,-70212.015625,-157961.859375
3AML_A_5GR5_A_3_3,-71561.65625,-229499.984375
3AML_A_3AMK_A_1_5,-89297.8984375,-472236.875
3AML_A_5GR1_A_2_4,-71335.6328125,-158726.53125
3AML_A_6JOY_A_3_3,-70786.125,-206603.359375
3AML_A_6JOY_A_1_4,-68813.65625,-130650.1328125
3AML_A_5GQW_A_1_1,-70383.296875,-180942.921875
3AML_A_5GQU_A_1_5,-69416.328125,-147310.65625
3AML_A_3AMK_A_1_3,-90198.1875,-475117.21875
3AML_A_5GR5_A_3_4,-72229.515625,-248214.3125
3AML_A_5GQW_A_3_3,-72219.9765625,-222195.0
3AML_A_5GQW_A_1_2,-69393.359375,-167992.21875
3AML_A_5GR0_A_3_3,-71416.6875,-223554.734375
3AML_A_5CLT_A_1_5,-83729.203125,-360544.21875
3AML_A_5GR3_A_1_3,-69753.640625,-151964.03125
3AML_A_5GQW_A_1_4,-69480.0078125,-138079.4375
3AML_A_5GQW_A_1_3,-70005.5625,-159366.6875
3AML_A_4BZY_A_1_4,-82822.65625,-370644.1875
3AML_A_5GQU_A_2_3,-72712.8671875,-187274.484375
3AML_A_5GQU_A_2_1,-71862.234375,-201318.96875
3AML_A_5GR3_A_1_2,-69350.2265625,-178079.890625
3AML_A_5GR0_A_3_1,-71115.1796875,-226322.5625
3AML_A_5GQZ_A_2_4,-71858.5390625,-174629.046875
3AML_A_5GR3_A_1_1,-70207.1015625,-184557.25
3AML_A_5GQW_A_1_5,-69144.046875,-122638.4140625
3AML_A_5GQU_A_3_2,-71356.9609375,-251651.953125
3AML_A_5GQW_A_3_4,-71953.0,-221696.3125
3AML_A_4BZY_A_1_1,-82334.75,-351980.125
3AML_A_5GR2_A_3_3,-71883.5859375,-250711.75
3AML_A_5GQW_A_2_4,-71104.609375,-190968.375
3AML_A_5GR3_A_2_1,-71843.3203125,-214295.40625
3AML_A_5GR2_A_1_2,-69091.359375,-164360.078125
3AML_A_5GR2_A_3_5,-70935.265625,-216453.765625
3AML_A_5GR2_A_3_2,-71273.8359375,-250385.515625
3AML_A_5GR1_A_3_3,-71405.1484375,-222635.96875
3AML_A_5GR3_A_1_4,-69497.4921875,-175584.25
3AML_A_5GQU_A_1_2,-67678.3515625,-125122.375
3AML_A_5CLT_A_2_2,-82706.8984375,-369827.375
3AML_A_4BZY_A_3_1,-81690.4140625,-366187.375
3AML_A_5GQZ_A_3_5,-70691.96875,-216196.5625
3AML_A_5GQU_A_3_5,-71394.8984375,-235163.265625
3AML_A_5GR2_A_1_5,-70238.859375,-145050.71875
3AML_A_3VU2_A_1_5,-89785.015625,-468807.3125
3AML_A_5GR3_A_2_3,-71069.2421875,-149409.265625
3AML_A_5CLT_A_2_4,-82720.203125,-356223.5
3AML_A_4BZY_A_3_5,-82577.390625,-371089.15625
3AML_A_5GQZ_A_1_4,-69615.46875,-179405.796875
3AML_A_5GR0_A_3_5,-70913.046875,-224701.046875
3AML_A_3VU2_A_1_2,-88954.140625,-456394.84375
3AML_A_5GQW_A_2_3,-71251.390625,-162334.53125
3AML_A_6JOY_A_2_4,-69182.921875,-151712.421875
3AML_A_5GR5_A_3_1,-71270.8828125,-238515.75
3AML_A_5GR1_A_2_1,-71875.6875,-187558.546875
3AML_A_6JOY_A_2_2,-68119.1875,-139974.03125
3AML_A_5CLT_A_2_1,-83953.7109375,-369776.78125
3AML_A_5GR1_A_2_5,-70493.1171875,-168738.46875
3AML_A_5GQU_A_3_3,-71128.140625,-219690.09375
3AML_A_5GR3_A_1_5,-69820.734375,-168511.5
3AML_A_5GR0_A_2_1,-72261.078125,-203608.546875
3AML_A_5CLT_A_3_2,-83288.6796875,-370379.78125
3AML_A_5GR2_A_2_2,-71389.6171875,-189793.34375
3AML_A_3AMK_A_1_4,-89761.6796875,-472307.46875
3AML_A_3VU2_A_1_1,-89707.0546875,-472278.25
3AML_A_5CLT_A_1_1,-83213.703125,-370774.84375
3AML_A_5CLT_A_1_4,-82370.203125,-372259.59375
3AML_A_4BZY_A_3_3,-82230.609375,-370957.9375
3AML_A_5GQZ_A_2_5,-71983.8828125,-200133.546875
3AML_A_5GQU_A_2_4,-71799.9140625,-187893.578125
3AML_A_5GR1_A_3_1,-71592.453125,-232301.671875
3AML_A_5GQZ_A_1_1,-69017.1484375,-145272.3125
3AML_A_5GQZ_A_3_1,-71376.921875,-222118.53125
3AML_A_6JOY_A_2_1,-69078.984375,-155264.53125
3AML_A_5GR2_A_1_3,-69729.1015625,-164726.25
3AML_A_6JOY_A_1_5,-69567.1328125,-122024.734375
3AML_A_5GR5_A_3_2,-71585.578125,-221993.296875
3AML_A_6JOY_A_2_5,-69465.203125,-155179.984375
3AML_A_5GR2_A_3_4,-71709.625,-228866.640625
3AML_A_5GR5_A_2_1,-71575.328125,-180881.375
3AML_A_3AMK_A_1_2,-89727.96875,-476105.625
3AML_A_5GQZ_A_2_3,-72396.7578125,-203191.1875
3AML_A_5GR0_A_2_5,-72970.71875,-225835.8125
3AML_A_6JOY_A_1_3,-69466.140625,-145996.46875
3AML_A_5GQU_A_3_4,-71939.4296875,-237812.1875
3AML_A_5GR3_A_2_5,-72309.921875,-203569.4375
3AML_A_5CLT_A_1_3,-83425.3671875,-377443.21875
3AML_A_5GQZ_A_2_2,-71009.53125,-175146.46875
3AML_A_5GR2_A_2_5,-71931.5546875,-190221.6875
3AML_A_5GR2_A_2_4,-71342.5234375,-171116.125
3AML_A_4BZY_A_3_4,-82569.546875,-383961.40625
3AML_A_5GQU_A_1_4,-69617.03125,-165878.359375
3AML_A_6JOY_A_3_5,-69459.9140625,-196343.734375
3AML_A_5GR3_A_2_2,-72448.6484375,-190909.5
3AML_A_5GR5_A_2_3,-72331.046875,-181901.859375
3AML_A_5GQU_A_2_5,-71908.0859375,-206332.03125
3AML_A_3VU2_A_1_3,-89385.5,-470311.71875
3AML_A_5GR2_A_1_4,-69775.140625,-160430.1875
3AML_A_5CLT_A_3_1,-83365.0078125,-375075.34375
3AML_A_5CLT_A_2_3,-83153.5546875,-364388.625
3AML_A_5GR5_A_2_4,-70932.6953125,-167086.09375
3AML_A_5GQZ_A_1_2,-69704.5234375,-151031.390625
3AML_A_5CLT_A_1_2,-82071.171875,-351807.65625
3AML_A_5CLT_A_3_3,-83097.1484375,-362232.96875
3AML_A_5GQZ_A_1_5,-68523.6484375,-142818.65625
3AML_A_5GQW_A_3_5,-72199.65625,-229662.359375
3AML_A_5CLT_A_3_4,-82536.4375,-349614.09375
3AML_A_5GR0_A_2_2,-70805.421875,-173403.796875
3AML_A_5GR1_A_2_3,-69992.28125,-150962.84375
3AML_A_5GR1_A_3_4,-71017.6953125,-211298.046875
3AML_A_5GQZ_A_2_1,-71862.4375,-219785.796875
3AML_A_5GQZ_A_1_3,-69405.75,-155616.796875
3AML_A_5GQU_A_3_1,-71011.3515625,-231256.21875
3AML_A_5GR5_A_3_5,-70985.40625,-200328.796875
3AML_A_5GQU_A_2_2,-72139.875,-192321.890625
3AML_A_5GQZ_A_3_3,-72085.5625,-227524.53125
3AML_A_5GQW_A_2_2,-71074.375,-172002.65625
3AML_A_5GR0_A_3_2,-71370.4765625,-235566.21875
3AML_A_3VU2_A_1_4,-89617.34375,-472422.75
4LJ6_A_6UQE_A_2_3,-35388.9921875,-118146.8515625
4LJ6_A_6QS4_A_1_3,-35425.26953125,-104941.546875
4LJ6_A_4FCT_A_2_1,-36857.5234375,-148938.046875
4LJ6_A_3J3T_A_3_3,-35037.1484375,-108811.5546875
4LJ6_A_6D00_1_1_5,-33515.59375,-109874.3203125
4LJ6_A_6OAX_A_1_2,-33528.2578125,-117412.1953125
4LJ6_A_6UQE_A_2_4,-35885.26953125,-127149.90625
4LJ6_A_3J3T_A_1_5,-35379.21875,-115695.9609375
4LJ6_A_3J3R_A_3_4,-35699.734375,-110747.3515625
4LJ6_A_6QS4_A_2_5,-36157.5390625,-113625.2890625
4LJ6_A_4I34_A_2_5,-29991.177734375,-91582.7421875
4LJ6_A_6E11_1_2_2,-34133.65625,-97880.9609375
4LJ6_A_5ZUI_A_1_4,-37095.38671875,-121201.59375
4LJ6_A_1OFH_A_2_4,-28737.16796875,-78800.796875
4LJ6_A_6SFW_O_3_3,-30312.353515625,-62048.85546875
4LJ6_A_5ZUI_A_1_3,-37824.125,-136225.34375
4LJ6_A_6QS4_A_1_1,-35219.89453125,-108243.6875
4LJ6_A_6QS4_A_3_1,-36365.54296875,-116543.1796875
4LJ6_A_4CIU_A_3_5,-38397.5703125,-142469.96875
4LJ6_A_6DJU_A_3_4,-32934.69921875,-98935.0234375
4LJ6_A_4D2Q_A_3_3,-35667.421875,-109639.1640625
4LJ6_A_3J3T_A_1_3,-34973.6796875,-101490.9921875
4LJ6_A_6LSY_A_2_4,-32850.9296875,-97583.84375
4LJ6_A_5ZUI_A_3_1,-38019.44140625,-121429.1328125
4LJ6_A_3J3S_A_3_1,-35438.046875,-106079.4453125
4LJ6_A_5ZUI_A_3_4,-38223.53515625,-123958.1484375
4LJ6_A_6D00_1_1_2,-32542.390625,-75867.421875
4LJ6_A_6QS4_A_1_4,-35510.44140625,-105681.7265625
4LJ6_A_1OFH_A_2_3,-28667.775390625,-70147.4453125
4LJ6_A_6D00_1_3_1,-33660.84375,-110120.515625
4LJ6_A_4CIU_A_3_1,-38405.6484375,-143699.4375
4LJ6_A_4CIU_A_3_4,-38966.46875,-148520.3125
4LJ6_A_4D2Q_A_1_3,-34735.57421875,-93650.78125
4LJ6_A_3J3T_A_3_4,-35026.46484375,-99972.7890625
4LJ6_A_4CIU_A_1_2,-37420.15234375,-133815.421875
4LJ6_A_3J3R_A_3_5,-35054.56640625,-100553.1796875
4LJ6_A_6QS4_A_2_2,-35753.7734375,-109594.4375
4LJ6_A_6SFW_O_3_5,-29586.40625,-58521.43359375
4LJ6_A_5ZUI_A_3_2,-38183.48828125,-122831.7578125
4LJ6_A_4I34_A_2_2,-29147.73046875,-87950.359375
4LJ6_A_6SFW_O_3_1,-29324.9375,-51840.55859375
4LJ6_A_6E11_1_2_4,-33630.77734375,-102558.59375
4LJ6_A_6OAX_A_1_5,-33218.04296875,-114765.71875
4LJ6_A_4FCT_A_2_3,-36388.80078125,-121028.421875
4LJ6_A_4CIU_A_1_5,-37502.640625,-135439.265625
4LJ6_A_5ZUI_A_1_1,-37828.9921875,-130358.28125
4LJ6_A_6EM9_A_2_4,-33699.9765625,-91914.4765625
4LJ6_A_4CIU_A_2_4,-38043.6328125,-137391.609375
4LJ6_A_3J3T_A_1_2,-34916.41796875,-102682.8125
4LJ6_A_4FCV_A_1_3,-38277.9140625,-155601.671875
4LJ6_A_3J3R_A_3_2,-35213.875,-94304.734375
4LJ6_A_6LSY_A_2_5,-32986.8359375,-95873.96875
4LJ6_A_6RN2_A_1_1,-36059.375,-110260.7109375
4LJ6_A_5OFO_A_2_4,-35789.171875,-110332.9453125
4LJ6_A_6OAX_A_2_2,-34101.57421875,-122133.265625
4LJ6_A_6VFS_A_2_4,-30738.365234375,-95146.6328125
4LJ6_A_5ZUI_A_1_2,-37662.5390625,-130182.7109375
4LJ6_A_4D2Q_A_2_1,-35347.765625,-100022.5234375
4LJ6_A_6RN2_A_2_1,-36500.25,-120965.3515625
4LJ6_A_4FCT_A_1_3,-38025.7265625,-154776.515625
4LJ6_A_5ZUI_A_3_3,-38643.58203125,-124314.8046875
4LJ6_A_3J3R_A_3_3,-35476.0703125,-109834.40625
